,stressperiod,average_recharge
0,0,0.0010000000474974513
1,1,0.0010000000474974513
2,2,0.0010000000474974513
3,3,0.0010000000474974513
4,4,0.0010000000474974513
5,5,0.0010000000474974513
6,6,0.0010000000474974513
7,7,0.0010000000474974513
8,8,0.0010000000474974513
9,9,0.0010000000474974513
10,10,0.0010000000474974513
11,11,0.0010000000474974513
12,12,0.0010000000474974513
13,13,0.0010000000474974513
14,14,0.0010000000474974513
15,15,0.0010000000474974513
16,16,0.0010000000474974513
17,17,0.0010000000474974513
18,18,0.0010000000474974513
19,19,0.0010000000474974513
20,20,0.0010000000474974513
21,21,0.0010000000474974513
22,22,0.0010000000474974513
23,23,0.0010000000474974513
24,24,0.0010000000474974513
25,25,0.0010000000474974513
26,26,0.0010000000474974513
27,27,0.0010000000474974513
28,28,0.0010000000474974513
29,29,0.0010000000474974513
30,30,0.0010000000474974513
31,31,0.0010000000474974513
32,32,0.0010000000474974513
33,33,0.0010000000474974513
34,34,0.0010000000474974513
35,35,0.0010000000474974513
36,36,0.0010000000474974513
37,37,0.0010000000474974513
38,38,0.0010000000474974513
39,39,0.0010000000474974513
40,40,0.0010000000474974513
41,41,0.0010000000474974513
42,42,0.0010000000474974513
43,43,0.0010000000474974513
44,44,0.0010000000474974513
45,45,0.0010000000474974513
46,46,0.0010000000474974513
47,47,0.0010000000474974513
48,48,0.0010000000474974513
49,49,0.0010000000474974513
50,50,0.0010000000474974513
51,51,0.0010000000474974513
52,52,0.0010000000474974513
53,53,0.0010000000474974513
54,54,0.0010000000474974513
55,55,0.0010000000474974513
56,56,0.0010000000474974513
57,57,0.0010000000474974513
58,58,0.0010000000474974513
59,59,0.0010000000474974513
60,60,0.0010000000474974513
61,61,0.0010000000474974513
62,62,0.0010000000474974513
63,63,0.0010000000474974513
64,64,0.0010000000474974513
65,65,0.0010000000474974513
66,66,0.0010000000474974513
67,67,0.0010000000474974513
68,68,0.0010000000474974513
69,69,0.0010000000474974513
70,70,0.0010000000474974513
71,71,0.0010000000474974513
72,72,0.0010000000474974513
73,73,0.0010000000474974513
74,74,0.0010000000474974513
75,75,0.0010000000474974513
76,76,0.0010000000474974513
77,77,0.0010000000474974513
78,78,0.0010000000474974513
79,79,0.0010000000474974513
80,80,0.0010000000474974513
81,81,0.0010000000474974513
82,82,0.0010000000474974513
83,83,0.0010000000474974513
84,84,0.0010000000474974513
85,85,0.0010000000474974513
86,86,0.0010000000474974513
87,87,0.0010000000474974513
88,88,0.0010000000474974513
89,89,0.0010000000474974513
90,90,0.0010000000474974513
91,91,0.0010000000474974513
92,92,0.0010000000474974513
93,93,0.0010000000474974513
94,94,0.0010000000474974513
95,95,0.0010000000474974513
96,96,0.0010000000474974513
97,97,0.0010000000474974513
98,98,0.0010000000474974513
99,99,0.0010000000474974513
100,100,0.0010000000474974513
101,101,0.0010000000474974513
102,102,0.0010000000474974513
103,103,0.0010000000474974513
104,104,0.0010000000474974513
105,105,0.0010000000474974513
106,106,0.0010000000474974513
107,107,0.0010000000474974513
108,108,0.0010000000474974513
109,109,0.0010000000474974513
110,110,0.0010000000474974513
111,111,0.0010000000474974513
112,112,0.0010000000474974513
113,113,0.0010000000474974513
114,114,0.0010000000474974513
115,115,0.0010000000474974513
116,116,0.0010000000474974513
117,117,0.0010000000474974513
118,118,0.0010000000474974513
119,119,0.0010000000474974513
