,stressperiod,average_recharge,
0,0,3.97E-05,4.76E-04
1,1,4.88E-05,5.85E-04
2,2,0.000151307,1.82E-03
3,3,0.000355874,4.27E-03
4,4,0.00231379,2.78E-02
5,5,0.00100428,1.21E-02
6,6,0.000235141,2.82E-03
7,7,4.13E-05,4.95E-04
8,8,6.46E-06,7.75E-05
9,9,1.58E-05,1.90E-04
10,10,8.70E-06,1.04E-04
11,11,7.83E-06,9.39E-05
12,12,1.19E-05,1.42E-04
13,13,4.48E-05,5.38E-04
14,14,0.000346827,4.16E-03
15,15,0.000480955,5.77E-03
16,16,0.00155512,1.87E-02
17,17,0.000346873,4.16E-03
18,18,0.000115122,1.38E-03
19,19,3.55E-05,4.26E-04
20,20,3.25E-05,3.91E-04
21,21,2.64E-05,3.17E-04
22,22,4.97E-05,5.97E-04
23,23,2.61E-05,3.14E-04
24,24,0.002166145,2.60E-02
25,25,0.002630202,3.16E-02
26,26,0.00163216,1.96E-02
27,27,0.00319724,3.84E-02
28,28,0.002485577,2.98E-02
29,29,0.001244899,1.49E-02
30,30,0.000455083,5.46E-03
31,31,0.000343762,4.13E-03
32,32,0.000878809,1.05E-02
33,33,0.000493917,5.93E-03
34,34,0.000332284,3.99E-03
35,35,0.004890197,5.87E-02
36,36,0.004148261,4.98E-02
37,37,0.005333853,6.40E-02
38,38,0.004080773,4.90E-02
39,39,0.002330684,2.80E-02
40,40,0.003312103,3.97E-02
41,41,0.003261887,3.91E-02
42,42,0.000807729,9.69E-03
43,43,0.000235973,2.83E-03
44,44,0.000107342,1.29E-03
45,45,3.71E-05,4.45E-04
46,46,0.000300067,3.60E-03
47,47,0.000823884,9.89E-03
48,48,0.001615396,1.94E-02
49,49,0.002637965,3.17E-02
50,50,0.001733892,2.08E-02
51,51,0.001399125,1.68E-02
52,52,0.001090204,1.31E-02
53,53,0.000714659,8.58E-03
54,54,0.000378518,4.54E-03
55,55,9.13E-06,1.10E-04
56,56,1.10E-05,1.32E-04
57,57,3.05E-05,3.66E-04
58,58,5.46E-05,6.55E-04
59,59,4.65E-05,5.58E-04
60,60,5.58E-05,6.69E-04
61,61,8.02E-05,9.62E-04
62,62,0.000202882,2.43E-03
63,63,0.000181151,2.17E-03
64,64,0.000328342,3.94E-03
65,65,0.00014074,1.69E-03
66,66,1.71E-05,2.05E-04
67,67,2.15E-05,2.58E-04
68,68,9.06E-06,1.09E-04
69,69,0.000974868,1.17E-02
70,70,0.001110861,1.33E-02
71,71,0.001784387,2.14E-02
72,72,0.001998743,2.40E-02
73,73,0.000884697,1.06E-02
74,74,0.001352029,1.62E-02
75,75,0.001909422,2.29E-02
76,76,0.001857627,2.23E-02
77,77,0.003112529,3.74E-02
78,78,0.000635881,7.63E-03
79,79,0.000131898,1.58E-03
80,80,9.40E-05,1.13E-03
81,81,3.94E-05,4.73E-04
82,82,8.50E-05,1.02E-03
83,83,9.04E-05,1.09E-03
84,84,6.74E-05,8.09E-04
85,85,6.46E-05,7.76E-04
86,86,5.22E-05,6.27E-04
87,87,2.95E-05,3.54E-04
88,88,1.40E-05,1.67E-04
89,89,2.27E-05,2.72E-04
90,90,4.19E-06,5.03E-05
91,91,9.69E-06,1.16E-04
92,92,0.000104074,1.25E-03
93,93,3.40E-05,4.08E-04
94,94,3.26E-05,3.91E-04
95,95,0.000171197,2.05E-03
96,96,0.000246565,2.96E-03
97,97,0.000739699,8.88E-03
98,98,0.001634321,1.96E-02
99,99,0.003377791,4.05E-02
100,100,0.00331361,3.98E-02
101,101,0.00601443,7.22E-02
102,102,0.001743321,2.09E-02
103,103,0.000330943,3.97E-03
104,104,4.54E-05,5.45E-04
105,105,9.25E-05,1.11E-03
106,106,0.000218266,2.62E-03
107,107,0.000979742,1.18E-02
108,108,0.002359478,2.83E-02
109,109,0.003516693,4.22E-02
110,110,0.003549393,4.26E-02
111,111,0.002000236,2.40E-02
112,112,0.000586257,7.04E-03
113,113,8.22E-05,9.86E-04
114,114,0.000185655,2.23E-03
115,115,4.41E-05,5.30E-04
116,116,0.000669766,8.04E-03
117,117,0.003518144,4.22E-02
118,118,0.003679489,4.42E-02
119,119,0.002428768,2.91E-02
